,artist_name,track_name,track_id,popularity
243,beabadoobee,Tired,6F5mZpEEjhsAW8UEqbIpz1,73
244,The Marías,Cariño,55DyBUkjebkcYhDGfEXitR,72
245,Novo Amor,State Lines,7CoMBpPTwQi2wPT0U0Nr9b,75
246,Baby Keem,Baby Keem,6Hmc5Afutf4hcrjnBYNidS,70
247,Mac Miller,What's the Use?,2dgrYdgguVZKeCsrVb9XEs,72
248,Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,72
249,Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,75
250,Nicki Minaj,Chun-Li,1e4rwBPVI32vZtTJu7mJ4J,73
251,The Plot In You,FEEL NOTHING,4xDwCYhobDehSBGUmd5H6Y,75
252,YoungBoy Never Broke Again,Slime Belief,2qGfZAgDe1pV2y5xJAhi6R,68
253,Dominic Fike,3 Nights,0uI7yAKUf52Cn7y3sYyjiX,73
254,Jacquees,B.E.D.,1B6TmCvKjC4dopBohVW51x,72
255,Rainbow Kitten Surprise,Painkillers,6fc51JZVE0Yijdi6RuoLFv,69
256,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,72
257,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,73
258,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,68
259,Ski Mask The Slump God,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,70
260,Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,81
261,Xavier Wulf,Whiplash'd,52a8SjUaDMkIZeE0kRHr79,69
262,Gunna,Sold Out Dates (feat. Lil Baby),55WLWX71YkHt2tSucNIf1g,71
263,Masego,Tadow,51rPRW8NjxZoWPPjnRGzHw,75
264,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,72
265,Gucci Mane,Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,73
266,"Dream, Ivory",welcome and goodbye,00RLNHc2jkEjUoCUlFgPVT,72
267,Drake,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,72
268,Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,76
269,Playboi Carti,FlatBed Freestyle,5nayhWICkQGMTkisxVMbRw,71
270,Migos,Narcos,0wbnC9AUenxp613TYaJsGK,72
271,Summer Walker,Baby,7aVKQJZwdqyEPkvKSyEuxj,72
272,Juice WRLD,I'll Be Fine,0INehbMZOFPnaPBAjK97i3,70
273,Queen Naija,Medicine,4lFfMRH0YH4pW5gczTDbNC,68
274,Nipsey Hussle,Grinding All My Life,3R9j8urSPiBbapNbyuSYkE,71
275,Cheriimoya,"Living Life, In The Night",2kx5sQgmjYug0GiDh1a4sU,81
276,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,72
277,Kali Uchis,Just A Stranger (feat. Steve Lacy),1HA2V2EfAgJUBVOju4YfiB,70
278,Simple Plan,I'm Just a Kid,6otiaV2fagE3s8IvP6WkwG,73
279,XXXTENTACION,Floor 555,6r7ULK6c5CLVvImjTIztl1,72
